"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0010","I. Cash Flow","3588.970564","Million USD","Normal","","10","Total Cash inflow of Workers' remittances in Pakistan in a month"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0020","......1 USA","301.6821151","Million USD","Normal","","20","Workers' remittances received from U.S.A."
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0030","......2 U.K.","559.7391265","Million USD","Normal","","30","Workers' remittances received from U.K."
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0040","......3 Saudi Arabia","813.0639392","Million USD","Normal","","40","Workers' remittances received from Saudi Arabia"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0050","......4 U.A.E.","726.0806139","Million USD","Normal","","50","Workers' remittances received from U.A.E."
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0060","............. Dubai","565.6998745","Million USD","Normal","","60","Workers' remittances received from Dubai"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0070","............. Abu Dhabi","130.1333116","Million USD","Normal","","70","Workers' remittances received from Abu Dhabi"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0080","............. Sharjah","12.75117619","Million USD","Normal","","80","Workers' remittances received from Sharjah"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0090","............. Others","17.49625157","Million USD","Normal","","90","Workers' remittances received from Other four U.A.E.'s States"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0100","......5 Other GCC Countries","333.2261591","Million USD","Normal","","100","Workers' remittances received from Other GCC Countries excluding Saudi Arabia & U.A.E."
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0110","............. Bahrain","50.52123471","Million USD","Normal","","110","Workers' remittances received from Bahrain"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0120","............. Kuwait","77.43374289","Million USD","Normal","","120","Workers' remittances received from Kuwait"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0130","............. Qatar","99.96667427","Million USD","Normal","","130","Workers' remittances received from Qatar"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0140","............. Oman","105.3045073","Million USD","Normal","","140","Workers' remittances received from Oman"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0150","......6 EU Countries","499.2729689","Million USD","Normal","","150","Workers' remittances received from ten European Countries"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0160","............. Germany","75.74905871","Million USD","Normal","","160","Workers' remittances received from Germany"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0170","............. France","59.15501454","Million USD","Normal","","170","Workers' remittances received from France"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0180","............. Netherland","10.83044212","Million USD","Normal","","180","Workers' remittances received from Netherland"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0190","............. Spain","84.12077904","Million USD","Normal","","190","Workers' remittances received from Spain"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0200","............. Italy","149.2022384","Million USD","Normal","","200","Workers' remittances received from Italy"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0210","............. Greece","56.90121558","Million USD","Normal","","210","Workers' remittances received from Greece"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0220","............. Sweden","8.939139618","Million USD","Normal","","220","Workers' remittances received from Sweden"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0230","............. Denmark","10.87116599","Million USD","Normal","","230","Workers' remittances received from Denmark"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0240","............. Ireland","23.98969443","Million USD","Normal","","240","Workers' remittances received from Ireland"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0250","............. Belgium","19.5142205","Million USD","Normal","","250","Workers' remittances received from Belgium"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0260","......7 Malaysia","13.4149608","Million USD","Normal","","260","Workers' remittances received from Malaysia"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0270","......8 Norway","12.87395015","Million USD","Normal","","270","Workers' remittances received from Norway"
"Country-wise Workers' Remittances","31-Dec-2025","TS_GP_BOP_WR_M.WR0280","......9 Switzerland","7.448982123","Million USD","Normal","","280","Workers' remittances received from Switzerland"
