source_type,name,latitude,longitude,region,description,company_na,start_year,depth_to
Mineral Occurrence,Wolstenholme ╪ - Iron 01,76.41269,-70.09562,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR-GLMTH,nan,nan,,
Mineral Occurrence,"Clavering ╪, Rustplateau",74.1942,-21.32239,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Clavering ╪, Rustplateau",74.18932,-21.29931,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Clavering ╪, Rustplateau",74.20149,-21.34758,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Kangersuneq South 01,68.7017,-50.85895,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Gable Gletscher 01,77.68479,-68.34203,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR-GLMTH,nan,nan,,
Mineral Occurrence,Gable Gletscher 01,77.62129,-68.47324,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR-GLMTH,nan,nan,,
Mineral Occurrence,Myggebugten,73.5,-21.55,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Isortuarsuk,66.92333,-53.06944,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMSS,nan,nan,,
Mineral Occurrence,Isortuarsuk,67.18861,-53.44389,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Isortuarsuk,67.56944,-53.75528,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Isortuarsuk,67.33806,-53.17333,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Isortuarsuk,67.62694,-53.67111,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Flade Bugt: Fault breccia, southern section",77.75111,-21.24694,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMD,nan,nan,,
Mineral Occurrence,"Flade Bugt: Fault breccia, southern section",77.741669,-21.26,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMD,nan,nan,,
Mineral Occurrence,Kangilinaq 01,68.73656,-51.20603,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Kangilinaq 01,68.73702,-51.21802,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Kangilinaq 01,68.75005,-51.21832,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Kangilinaq 01,68.79406,-50.9238,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ymer ╪, Noa Dal 01",73.307858,-25.064039,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Ymer ╪, Noa Dal 01",73.294976,-25.051918,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Ymer ╪, Noa Dal 01",73.29359,-25.02409,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Ymer ╪, Noa Dal 01",73.30034,-25.06508,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Ymer ╪, Noa Dal 01",73.2921,-24.94511,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Ymer ╪, Noa Dal 01",73.29462,-25.06411,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Margeries Dal South,73.14654,-25.10887,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Eqi East Main,69.74593,-50.04036,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Eqi East Main,69.75289,-50.04349,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Eqi East Main,69.75831,-50.03469,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Eqi East Main,69.76123,-50.12049,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Utoqqat (Sisimiut),66.928,-52.543,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Utoqqat (Sisimiut),66.818191,-53.505536,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Utoqqat (Sisimiut),67.163055,-53.311562,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",67.93,-52.40361,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",67.94924,-50.7326,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",67.96194,-51.91944,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.00944,-52.56389,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.01395,-50.69263,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.02215,-50.83359,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.02611,-51.3983,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.03933,-51.52768,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.07631,-51.06825,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.08334,-51.33255,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.09232,-53.04685,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.09332,-51.12673,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.09513,-51.12363,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.19433,-51.43086,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Ataneq, Arfersiorfik Main",68.20125,-51.42876,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.7325,-52.82694,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.2025,-53.73417,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.0775,-53.63861,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.13778,-52.05306,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.783607,-52.708611,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.649719,-53.230831,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.973061,-50.55917,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.989723,-51.807781,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.598328,-49.871391,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.570282,-50.214169,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.559723,-50.245831,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.540558,-50.448891,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.489723,-50.63028,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.682503,-52.569172,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nassutooq - Nordre Isortoq Main,67.836113,-52.33028,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Tunulik West,70.533,-50.844,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Lille Circusbjerg West,71.657,-22.789,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,De D°des Fjord North 01,76.22681,-67.71751,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR-GLMMC,nan,nan,,
Mineral Occurrence,De D°des Fjord North 01,76.11153,-67.00842,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR-GLMMC,nan,nan,,
Mineral Occurrence,De D°des Fjord North 01,76.31138,-66.99339,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR-GLMMC,nan,nan,,
Mineral Occurrence,De D°des Fjord North 01,76.27028,-67.23028,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR-GLMMC,nan,nan,,
Mineral Occurrence,Kangaatsiaq 01,68.36498,-53.36962,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Kangaatsiaq 01,68.27153,-53.55398,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nordre Isortoq 01,67.183939,-53.633108,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nordre Isortoq 01,67.183532,-53.507817,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Nordre Isortoq 01,67.185044,-53.508536,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,"Andree Land, Grejs Dal 01",73.59999,-25.95,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Oksedal 01,72.065,-23.816,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Taateraat 01,67.81048,-53.28417,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Saqqaq 01,70.07205,-51.89884,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Saqqaq 01,70.10796,-51.93103,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Saqqaq 01,70.11856,-51.98132,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,"Strindberg Land, Holmes°",73.84999,-24.83333,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Strindberg Land, Holmes°",73.775,-24.79999,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Strindberg Land, Holmes°",73.7112,-24.65179,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Strindberg Land, Holmes°",73.74582,-24.8317,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Alpefjord - Tungsten,72.28,-25.5,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Alpefjord - Tungsten,72.27,-25.58,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Alpefjord - Tungsten,72.27,-25.48,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Attu 01,67.82682,-53.43331,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Attu 01,67.82979,-53.41304,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Attu 01,67.84545,-53.31043,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Attu 01,67.82717,-53.43299,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMK,nan,nan,,
Mineral Occurrence,Devondal,71.64887,-22.5067,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Devondal,71.593757,-22.687535,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Devondal,71.60779,-22.74405,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Devondal,71.67793,-22.629199,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Devondal,71.6362,-22.8306,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Bredehorn, Zebra Klint",71.851,-24.008,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Anap Nunaa 01,69.97222,-50.36667,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,"Andree Land, Panoramafjeld - Tungsten",73.48129,-25.27948,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,"Andree Land, Panoramafjeld - Tungsten",73.53831,-25.38734,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
Mineral Occurrence,Itilliarsuk - Gold,69.96991,-50.97033,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,Itilliarsuk - Gold,69.98439,-51.10266,https://data.geus.dk/greenlanddb/webresources/geologic-unit/PR_AE-GLMD,nan,nan,,
Mineral Occurrence,"Ymer ╪, Noa S° 1",73.312,-25.076,https://data.geus.dk/greenlanddb/webresources/geologic-unit/IP-GLMCE,nan,nan,,
