iter	Passed	Remaining
0	155	155460
1	381	190251
2	551	183361
3	720	179416
4	807	160692
5	923	152956
6	1094	155232
7	1261	156432
8	1417	156109
9	1573	155776
10	1704	153218
11	1842	151725
12	1956	148547
13	2112	148772
14	2210	145152
15	2402	147763
16	2587	149594
17	2797	152646
18	2931	151353
19	3105	152178
20	3268	152381
21	3425	152262
22	3629	154156
23	3784	153883
24	3932	153385
25	4115	154173
26	4243	152925
27	4371	151755
28	4540	152041
29	4826	156059
30	5025	157097
31	5178	156660
32	5300	155318
33	5513	156654
34	5720	157726
35	5886	157632
36	6024	156812
37	6151	155729
38	6289	154990
39	6450	154809
40	6618	154805
41	6781	154683
42	6904	153673
43	7040	152963
44	7174	152255
45	7302	151445
46	7431	150679
47	7525	149260
48	7684	149146
49	7816	148504
50	7941	147778
51	8037	146536
52	8126	145199
53	8240	144363
54	8363	143705
55	8496	143224
56	8612	142484
57	8709	141451
58	8788	140163
59	8851	138670
60	8999	138529
61	9170	138746
62	9294	138239
63	9416	137722
64	9495	136596
65	9588	135695
66	9663	134573
67	9742	133531
68	9835	132706
69	9912	131689
70	9993	130757
71	10051	129558
72	10119	128498
73	10163	127180
74	10216	126003
75	10256	124699
76	10301	123487
77	10339	122223
78	10387	121095
79	10425	119892
80	10461	118697
81	10499	117548
82	10542	116472
83	10585	115433
84	10628	114415
85	10665	113351
86	10703	112329
87	10743	111341
88	10790	110454
89	10836	109572
90	10874	108622
91	10912	107702
92	10951	106806
93	10986	105887
94	11021	104991
95	11063	104182
96	11100	103336
97	11143	102561
98	11181	101760
99	11219	100977
100	11267	100288
101	11308	99561
102	11343	98785
103	11382	98063
104	11417	97319
105	11458	96638
106	11497	95954
107	11549	95389
108	11613	94930
109	11671	94437
110	11722	93883
111	11785	93439
112	11831	92873
113	11873	92277
114	11918	91723
115	11965	91187
116	12002	90582
117	12041	90007
118	12081	89442
119	12124	88915
120	12164	88365
121	12208	87858
122	12239	87272
123	12279	86750
124	12318	86228
125	12359	85733
126	12398	85225
127	12439	84745
128	12487	84314
129	12525	83826
130	12563	83343
131	12596	82832
132	12634	82361
133	12674	81911
134	12712	81452
135	12752	81018
136	12790	80568
137	12826	80116
138	12863	79677
139	12900	79248
140	12938	78820
141	12977	78415
142	13043	78171
143	13094	77836
144	13143	77503
145	13210	77271
146	13256	76923
147	13302	76581
148	13345	76223
149	13398	75923
150	13452	75634
151	13510	75373
152	13549	75008
153	13601	74721
154	13650	74419
155	13708	74166
156	13760	73886
157	13808	73587
158	13854	73281
159	13908	73019
160	13970	72801
161	140161	14681162	140162	14743163	141163	14840	75652
164	14892	75366
165	14947	75099
166	15023	74939
167	15091	74738
168	15146	74479
169	15215	74287
170	15275	74052
171	15324	73769
172	15408	73658
173	15472	73449
174	15572	73414
175	15664	73339
176	15763	73297
177	15825	73081
178	15883	72852
179	16014	72954
180	16110	72896
181	16152	72595
182	16214	72387
183	16261	72114
184	16313	71866
185	16352	71565
186	16402	71309
187	16447	71038
188	16487	70748
189	16522	70439
190	16567	70171
191	16608	69893
192	16649	69618
193	16685	69320
194	16728	69059
195	16776	68818
196	16814	68536
197	16854	68267
198	16892	67995
199	16931	67725
200	16966	67445
201	17006	67184
202	17044	66916
203	17080	66648
204	17122	66403
205	17160	66144
206	17198	65884
207	17239	65642
208	17307	65505
209	17361	65312
210	17408	65095
211	17481	64977
212	17546	64829
213	17600	64645
214	17677	64543
215	17742	64398
216	17817	64291
217	17860	64069
218	17944	63994
219	18022	63896
220	18119	63869
221	18176	63700
222	18262	63631
223	18360	63604
224	18406	63401
225	18449	63184
226	18513	63042
227	18575	62894
228	18635	62741
229	18689	62570
230	18726	62339
231	18772	62142
232	18816	61940
233	18874	61786
234	18920	61593
235	18958	61375
236	18997	61159
237	19042	60967
238	19080	60755
239	19123	60558
240	19164	60354
241	19211	60175
242	19246	59958
243	19293	59779
244	19333	59577
245	19370	59372
246	19413	59182
247	19453	58987
248	19493	58794
249	19534	58603
250	19576	58418
251	19616	58226
252	19654	58031
253	19692	57837
254	19737	57664
255	19794	57527
256	19871	57450
257	19945	57363
258	19996	57210
259	20041	57041
260	20093	56893
261	20139	56729
262	20182	56557
263	20226	56388
264	20264	56205
265	20307	56035
266	20346	55858
267	20388	55687
268	20428	55514
269	20466	55335
270	20504	55156
271	20547	54995
272	20584	54817
273	20622	54643
274	20670	54494
275	20708	54323
276	20751	54164
277	20788	53989
278	20821	53808
279	20863	53648
280	20919	53527
281	20974	53404
282	21024	53266
283	21076	53136
284	21152	53066
285	21219	52975
286	21284	52877
287	21345	52770
288	21421	52701
289	21476	52580
290	21554	52515
291	21622	52427
292	21692	52344
293	21779	52301
294	21871	52269
295	21941	52184
296	22005	52087
297	22054	51954
298	22097	51808
299	22142	51664
300	22194	51540
301	22258	51444
302	22326	51357
303	22382	51243
304	22445	51147
305	22493	51013
306	22546	50895
307	22589	50752
308	22631	50608
309	22669	50458
310	22706	50305
311	22748	50163
312	22787	50016
313	22821	49858
314	22859	49709
315	22898	49564
316	22938	49423
317	22983	49292
318	23028	49161
319	23074	49033
320	23120	48906
321	23168	48782
322	23208	48644
323	23256	48523
324	23292	48377
325	23342	48259
326	23391	48141
327	23437	48019
328	23483	47895
329	23530	47773
330	23581	47661
331	23628	47542
332	23678	47428
333	23719	47297
334	23760	47166
335	23798	47030
336	23850	46922
337	23912	46834
338	23955	46709
339	23996	46581
340	24045	46469
341	24091	46351
342	24136	46232
343	24179	46109
344	24224	45992
345	24273	45880
346	24315	45758
347	24355	45631
348	24401	45516
349	24448	45403
350	24490	45282
351	24528	45154
352	24571	45036
353	24615	44919
354	24654	44794
355	24693	44671
356	24741	44561
357	24776	44430
358	24824	44324
359	24871	44215
360	24921	44113
361	24971	44010
362	25012	43893
363	25057	43781
364	25104	43675
365	25146	43560
366	25198	43462
367	25237	43343
368	25279	43228
369	25321	43115
370	25365	43005
371	25409	42894
372	25455	42789
373	25504	42689
374	25552	42586
375	25597	42480
376	25641	42373
377	25686	42267
378	25723	42148
379	25764	42037
380	25803	41921
381	25842	41807
382	25886	41701
383	25931	41598
384	25973	41490
385	26007	41369
386	26048	41259
387	26091	41153
388	26130	41042
389	26175	40940
390	26217	40835
391	26259	40728
392	26303	40627
393	26343	40518
394	26386	40414
395	26427	40308
396	26459	40189
397	26499	40082
398	26540	39976
399	26581	39872
400	26620	39764
401	26663	39663
402	26705	39560
403	26744	39454
404	26788	39356
405	26827	39250
406	26875	39156
407	26911	39047
408	26958	38954
409	26992	38842
410	27033	38741
411	27069	38632
412	27106	38526
413	27142	38419
414	27181	38315
415	27218	38210
416	27255	38105
417	27295	38004
418	27334	37902
419	27371	37798
420	27411	37698
421	27451	37600
422	27490	37498
423	27529	37398
424	27567	37297
425	27606	37197
426	27645	37097
427	27684	36998
428	27731	36910
429	27768	36809
430	27807	36711
431	27847	36614
432	27890	36521
433	27928	36422
434	27967	36325
435	28010	36234
436	28049	36136
437	28093	36046
438	28141	35961
439	28187	35875
440	28230	35783
441	28275	35696
442	28325	35614
443	28366	35522
444	28416	35441
445	28453	35343
446	28513	35275
447	28557	35186
448	28594	35090
449	28634	34997
450	28675	34906
451	28714	34813
452	28755	34722
453	28801	34637
454	28848	34555
455	28888	34463
456	28936	34381
457	28978	34293
458	29023	34208
459	29075	34132
460	29123	34051
461	29156	33952
462	29192	33857
463	29228	33763
464	29267	33673
465	29312	33589
466	29352	33500
467	29397	33417
468	29440	33332
469	29486	33251
470	29533	33170
471	29582	33091
472	29636	33020
473	29683	32939
474	29725	32854
475	29778	32781
476	29825	32702
477	29864	32613
478	29925	32548
479	29975	32473
480	30029	32401
481	30084	32331
482	30143	32265
483	30198	32194
484	30249	32120
485	30298	32044
486	30354	31975
487	30410	31905
488	30454	31824
489	30493	31738
490	30533	31652
491	30581	31576
492	30623	31493
493	30660	31405
494	30707	31327
495	30750	31246
496	30792	31164
497	30840	31088
498	30885	31009
499	30933	30933
500	30971	30847
501	31008	30761
502	31047	30677
503	31084	30590
504	31116	30500
505	31153	30414
506	31193	30331
507	31237	30253
508	31279	30173
509	31332	30104
510	31377	30026
511	31418	29946
512	31458	29863
513	31501	29785
514	31541	29704
515	31585	29626
516	31627	29547
517	31667	29466
518	31719	29396
519	31761	29317
520	31796	29233
521	31834	29151
522	31869	29066
523	31906	28983
524	31954	28911
525	31989	28826
526	32027	28746
527	32068	28667
528	32107	28586
529	32148	28509
